route,time_period,forecasted_demand,forecast_confidence,max_capacity,committed_capacity,load_factor,void_capacity,utilization_strategy,planning_comment,pricing_recommendation
DEL-FRA,01-01-2026,175.2177533,0.995898752,2394,122.6524273,0.051233261,2271.347573,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,02-01-2026,253.2068833,0.792358576,2394,177.2448183,0.0740371,2216.755182,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,03-01-2026,1989.191211,0.687856776,2394,1392.433847,0.581634857,1001.566153,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,04-01-2026,363.7955593,0.747557547,2394,254.6568915,0.106372971,2139.343108,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,05-01-2026,334.578124,0.658012922,2394,234.2046868,0.097829861,2159.795313,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,06-01-2026,406.5069613,0.598148253,2394,284.5548729,0.118861685,2109.445127,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,07-01-2026,363.3407609,0.753652451,2394,254.3385326,0.106239989,2139.661467,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,08-01-2026,288.3592715,0.793596636,2394,201.85149,0.084315576,2192.14851,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,09-01-2026,282.4583451,0.704137087,2394,197.7208416,0.082590159,2196.279158,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,10-01-2026,476.2122739,0.60886282,2394,333.3485917,0.139243355,2060.651408,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,11-01-2026,191.4014091,0.891154917,2394,133.9809864,0.055965324,2260.019014,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,12-01-2026,132.7550672,0.938090004,2394,92.92854704,0.038817271,2301.071453,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,13-01-2026,1290.084902,0.8464506,2394,903.0594315,0.377217808,1490.940568,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,14-01-2026,367.7724545,0.497843995,2394,257.4407182,0.107535805,2136.559282,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,15-01-2026,1237.977075,0.89883015,2394,866.5839528,0.361981601,1527.416047,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,16-01-2026,140.0138467,0.938261064,2394,98.00969271,0.040939721,2295.990307,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,17-01-2026,291.289428,0.660118782,2394,203.9025996,0.085172347,2190.0974,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
